CUSTOMER,GENDER,AGE RANGE,MARITAL,CHILDREN,WORKING
655,Male,Over 60,Divorced,No,Yes
656,Male,Over 60,Divorced,No,Yes
657,Female,31 to 40,Married,No,Yes
658,Female,18 to 30,Widowed,No,Yes
659,Male,31 to 40,Separated,No,Yes
660,Female,Over 60,Divorced,No,Yes
661,Male,51 to 60,Separated,No,Yes
662,Female,51 to 60,Widowed,Yes,Yes
663,Male,18 to 30,Separated,No,Yes
664,Female,41 to 50,Widowed,No,Yes
665,Male,41 to 50,Separated,No,Yes
666,Female,51 to 60,Divorced,No,Yes
667,Male,41 to 50,Separated,No,Yes
668,Female,31 to 40,Married,No,No
669,Female,41 to 50,Widowed,No,No
670,Female,18 to 30,Separated,No,No
671,Female,31 to 40,Divorced,No,Yes
672,Male,31 to 40,Divorced,No,Yes
673,Female,51 to 60,Separated,No,Yes
674,Female,18 to 30,Widowed,No,Yes
675,Female,Over 60,Married,No,Yes
676,Male,31 to 40,Separated,Yes,Yes
677,Male,31 to 40,Separated,No,Yes
678,Male,18 to 30,Widowed,No,No
679,Male,31 to 40,Widowed,No,Yes
680,Male,41 to 50,Married,No,Yes
681,Female,41 to 50,Widowed,No,Yes
682,Male,18 to 30,Separated,No,Yes
683,Female,Over 60,Single,No,Yes
684,Female,Over 60,Separated,No,Yes
685,Female,Over 60,Married,No,Yes
686,Female,31 to 40,Widowed,No,Yes
687,Male,31 to 40,Single,No,Yes
688,Female,51 to 60,Divorced,No,Yes
689,Male,51 to 60,Separated,No,Yes
690,Male,51 to 60,Widowed,No,Yes
691,Male,31 to 40,Separated,No,Yes
692,Male,51 to 60,Separated,Yes,Yes
693,Female,31 to 40,Single,No,Yes
694,Male,41 to 50,Married,No,Yes
695,Male,51 to 60,Single,No,Yes
696,Female,41 to 50,Separated,No,Yes
697,Female,51 to 60,Single,No,Yes
698,Male,31 to 40,Separated,No,Yes
699,Female,31 to 40,Single,No,Yes
700,Male,31 to 40,Separated,No,Yes
701,Male,41 to 50,Divorced,No,Yes
702,Male,31 to 40,Divorced,No,Yes
703,Male,51 to 60,Widowed,No,Yes
704,Female,41 to 50,Married,No,Yes
705,Female,18 to 30,Widowed,No,Yes
706,Female,31 to 40,Widowed,No,Yes
707,Male,Over 60,Married,No,Yes
708,Female,18 to 30,Married,No,Yes
709,Female,31 to 40,Married,No,Yes
710,Female,18 to 30,Divorced,No,Yes
711,Female,18 to 30,Widowed,Yes,Yes
712,Female,18 to 30,Single,No,Yes
713,Female,18 to 30,Single,No,Yes
714,Female,18 to 30,Single,No,Yes
715,Male,18 to 30,Single,No,Yes
716,Female,18 to 30,Single,No,Yes
717,Female,18 to 30,Single,No,Yes
718,Female,18 to 30,Single,No,Yes
719,Male,18 to 30,Single,No,Yes
720,Male,18 to 30,Single,No,Yes
721,Male,18 to 30,Single,No,Yes
722,Male,18 to 30,Single,No,Yes
723,Male,18 to 30,Single,No,Yes
724,Male,18 to 30,Single,No,Yes
725,Male,18 to 30,Single,No,Yes
726,Male,18 to 30,Single,Yes,No
727,Male,18 to 30,Single,No,Yes
728,Male,18 to 30,Single,No,Yes
729,Male,18 to 30,Single,No,Yes
730,Male,18 to 30,Single,No,Yes
731,Male,18 to 30,Single,No,Yes
732,Male,18 to 30,Single,No,Yes
733,Male,18 to 30,Single,No,Yes
734,Male,18 to 30,Single,No,Yes
735,Male,18 to 30,Single,No,Yes
736,Male,18 to 30,Single,No,Yes
737,Male,18 to 30,Single,No,Yes
738,Male,18 to 30,Single,No,Yes
739,Male,18 to 30,Single,No,Yes
740,Male,18 to 30,Single,No,Yes
741,Male,18 to 30,Single,No,Yes
742,Male,18 to 30,Single,No,Yes
743,Male,18 to 30,Single,No,Yes
744,Male,18 to 30,Single,No,Yes
745,Male,18 to 30,Single,No,Yes
746,Male,18 to 30,Single,Yes,Yes
747,Male,18 to 30,Single,No,Yes
748,Male,18 to 30,Single,No,Yes
749,Male,18 to 30,Single,No,Yes
750,Male,18 to 30,Single,No,Yes
751,Male,18 to 30,Single,No,Yes
752,Male,18 to 30,Single,No,No
753,Male,18 to 30,Single,No,No
754,Male,18 to 30,Single,No,No
755,Male,18 to 30,Single,No,No
756,Male,18 to 30,Single,No,No
757,Male,18 to 30,Single,No,No
758,Male,18 to 30,Single,No,No
759,Male,18 to 30,Single,No,No
760,Male,18 to 30,Single,No,No
761,Male,18 to 30,Single,No,No
762,Male,18 to 30,Single,No,No
763,Male,18 to 30,Single,No,No
764,Male,18 to 30,Single,No,No
765,Male,18 to 30,Single,No,No
766,Male,18 to 30,Single,No,No
767,Male,18 to 30,Single,No,No
768,Male,18 to 30,Single,No,No
769,Male,18 to 30,Single,No,No
770,Male,18 to 30,Single,No,No
771,Male,18 to 30,Single,No,No
772,Male,18 to 30,Single,No,No
773,Male,18 to 30,Single,No,No
774,Male,18 to 30,Single,No,No
775,Male,18 to 30,Single,No,No
776,Male,18 to 30,Single,No,No
777,Male,18 to 30,Single,No,Yes
778,Male,18 to 30,Single,No,Yes
779,Male,18 to 30,Single,No,Yes
780,Male,18 to 30,Single,No,Yes
781,Male,18 to 30,Single,No,Yes
782,Male,18 to 30,Single,No,Yes
783,Male,18 to 30,Single,No,Yes
784,Male,18 to 30,Single,No,Yes
785,Male,18 to 30,Single,No,Yes
786,Male,18 to 30,Single,No,Yes
